Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
08-01-2020,TCS,2205.85,2205.0,,,2253.35,2255.25,2240.22,5197454.0,,172815.0,,0.4403
09-01-2020,TCS,2255.25,2248.75,2251.95,2210.0,2220.0,2214.35,2223.77,3734173.0,830392000000000.0,134309.0,1805834.0,
10-01-2020,TCS,2214.35,2228.0,2234.0,2208.0,2213.0,2213.55,2219.51,1915807.0,425215000000000.0,102938.0,767417.0,0.4006
13-01-2020,TCS,2213.55,2217.85,2218.95,2184.7,2193.0,2190.35,2197.65,2843893.0,624987000000000.0,113645.0,1486327.0,0.5226
14-01-2020,TCS,2190.35,2195.0,,2195.0,2210.0,2206.9,2212.56,2948452.0,652362000000000.0,132106.0,1276382.0,0.4329
15-01-2020,TCS,2206.9,2213.0,2231.0,,2225.05,2226.9,2212.65,,579864000000000.0,114594.0,1513859.0,
16-01-2020,TCS,2226.9,2226.95,2249.0,2215.0,,2238.8,2235.81,3117214.0,696948000000000.0,113056.0,1736185.0,0.557
17-01-2020,TCS,2238.8,2240.75,2253.55,2213.0,,2219.1,2232.37,3281059.0,732455000000000.0,123528.0,1603410.0,0.4887
20-01-2020,TCS,2219.1,2194.9,,2156.2,2174.0,2170.35,,5817599.0,1269680000000000.0,216725.0,2321286.0,0.399
21-01-2020,TCS,,2169.95,2186.55,2158.05,2172.35,2171.05,,1902980.0,413127000000000.0,115866.0,865491.0,
22-01-2020,TCS,2171.05,2181.0,,2173.7,2209.8,2206.9,2198.89,1773686.0,390014000000000.0,109240.0,782190.0,
23-01-2020,TCS,2206.9,2209.8,,2183.7,2188.0,2190.95,2200.81,2069866.0,455538000000000.0,110107.0,1214278.0,0.5866
24-01-2020,TCS,2190.95,2190.95,2190.95,2170.0,2185.0,2183.4,2179.72,1319430.0,287599000000000.0,55949.0,607438.0,
27-01-2020,TCS,2183.4,2189.7,2193.45,2165.0,2168.3,2169.25,2172.99,1549101.0,,62160.0,771303.0,0.4979
28-01-2020,TCS,2169.25,2174.0,2187.8,2152.0,2183.8,2183.75,2169.48,1743024.0,378145000000000.0,79762.0,906541.0,0.5201
29-01-2020,TCS,2183.75,2185.0,,2150.0,2154.0,2154.6,2164.12,2306761.0,499212000000000.0,88479.0,1307797.0,0.5669
30-01-2020,TCS,2154.6,2160.0,2165.0,2125.0,2134.65,2137.85,2140.26,2098567.0,449149000000000.0,88883.0,,0.5034
31-01-2020,TCS,2137.85,2139.4,2144.35,2071.6,2082.4,2079.05,2098.15,3287223.0,689709000000000.0,131558.0,2194449.0,0.6676
01-02-2020,TCS,2079.05,2079.5,2180.7,2063.6,2167.5,2164.85,,3319716.0,,112061.0,,0.5419
03-02-2020,TCS,2164.85,2152.0,2194.7,2093.2,2110.0,2102.5,2136.37,4728073.0,1010090000000000.0,194574.0,2519349.0,0.5328
,TCS,2102.5,2129.0,2136.7,2086.6,2111.95,2107.75,2111.28,3509339.0,740921000000000.0,130941.0,,0.4472
,TCS,2107.75,,2156.7,2104.3,2147.5,2146.55,2136.16,2439322.0,521079000000000.0,132082.0,1373557.0,0.5631
06-02-2020,TCS,2146.55,2145.0,2174.2,2115.5,2129.45,2128.35,2146.02,2640065.0,566563000000000.0,97158.0,1284341.0,0.4865
,TCS,2128.35,2139.0,2151.0,,2138.0,2136.55,,2083442.0,444067000000000.0,,,
10-02-2020,TCS,2136.55,2140.9,2167.0,,2153.1,,2149.9,2383032.0,512327000000000.0,,,0.5449
11-02-2020,TCS,2161.95,2163.0,2174.8,2147.6,2152.7,2153.4,2157.68,1335820.0,,,606633.0,0.4541
12-02-2020,TCS,2153.4,2151.1,2185.0,2150.0,,2170.75,2173.56,1620407.0,352206000000000.0,98406.0,791500.0,0.4885
13-02-2020,TCS,2170.75,2172.95,2197.0,2171.0,2191.0,2191.95,2186.71,1645948.0,359921000000000.0,73525.0,886163.0,0.5384
14-02-2020,TCS,,2188.0,,2171.0,2183.0,2184.2,2190.86,1500115.0,328655000000000.0,117257.0,662963.0,0.4419
17-02-2020,TCS,2184.2,2196.95,2217.0,,2202.05,,2204.55,1774724.0,391246000000000.0,81968.0,868712.0,0.4895
18-02-2020,TCS,2203.25,2199.95,2221.0,2186.05,2215.0,2215.75,,2486223.0,548979000000000.0,98311.0,1511442.0,0.6079
19-02-2020,TCS,2215.75,2215.75,,2190.5,2194.1,,2209.81,1760463.0,389029000000000.0,77338.0,1061209.0,0.6028
20-02-2020,TCS,2196.35,2204.5,,2151.25,,2156.8,2189.19,2317278.0,507297000000000.0,121407.0,1447215.0,0.6245
24-02-2020,TCS,2156.8,2156.0,2178.95,2106.7,2112.0,2115.35,2152.36,,665698000000000.0,120347.0,,0.605
25-02-2020,TCS,2115.35,2115.5,2176.65,2111.0,2163.0,2156.15,2148.89,2674567.0,574736000000000.0,116295.0,1382198.0,0.5168
26-02-2020,TCS,,2154.0,2163.9,2112.95,2122.0,2123.6,2137.17,2686842.0,574225000000000.0,155115.0,1586103.0,0.5903
